DATA,VISIBILITA km,FENOMENI,SUNRISE,SUNSET,pv_charge %
86400,7.0,pioggia neve ,115680,147480,50
172800,9.0,pioggia ,202140,233940,50
259200,10.0,pioggia neve ,288540,320400,50
345600,9.0,pioggia ,374880,406860,50
432000,13.0,pioggia ,461280,493320,50
518400,12.0,pioggia nebbia ,547680,579780,40
604800,23.0,sole,634080,666240,100
691200,20.0,sole,720480,752700,100
777600,21.0,sole,806880,839160,100
864000,22.0,sole,893220,925620,100
950400,20.0,sole,979620,1012140,100
1036800,21.0,sole,1066020,1098600,100
1123200,19.0,sole,1152360,1185060,100
1209600,19.0,sole,1238760,1271520,100
1296000,17.0,sole,1325100,1357980,100
1382400,15.0,sole,1411500,1444500,100
1468800,11.0,sole,1497840,1530960,100
1555200,12.0,sole,1584180,1617420,100
1641600,15.0,sole,1670580,1703940,100
1728000,15.0,nebbia ,1756920,1790400,60
1814400,2.0,pioggia ,1843260,1876860,50
1900800,3.0,pioggia nebbia ,1929600,1963380,40
1987200,17.0,pioggia ,2015940,2049840,50
2073600,20.0,sole,2102340,2136300,100
2160000,23.0,sole,2188680,2222820,100
2246400,21.0,sole,2275020,2309280,100
2332800,20.0,sole,2361360,2395800,100
2419200,20.0,sole,2447700,2482260,100
2505600,19.0,pioggia ,2534040,2568720,50
2592000,17.0,pioggia ,2620380,2655240,50
2678400,9.0,pioggia nebbia ,2706720,2741700,40
2764800,18.0,pioggia ,2793000,2828220,50
2851200,5.0,nebbia ,2879340,2914680,60
2937600,3.0,sole,2965680,3001200,100
3024000,6.0,nebbia ,3052020,3087660,60
3110400,6.0,pioggia nebbia ,3138360,3174120,40
3196800,2.0,pioggia nebbia ,3224640,3260640,40
3283200,14.0,pioggia nebbia ,3310980,3347100,40
3369600,11.0,nebbia ,3397320,3433620,60
3456000,20.0,sole,3483600,3520080,100
3542400,15.0,pioggia nebbia ,3569940,3606600,40
3628800,19.0,sole,3656280,3693060,100
3715200,14.0,pioggia neve ,3742560,3779520,50
3801600,15.0,pioggia neve ,3828900,3866040,50
3888000,17.0,sole,3915180,3952500,100
3974400,20.0,sole,4001520,4039020,100
4060800,21.0,sole,4087800,4125480,100
4147200,20.0,sole,4174140,4212000,100
4233600,8.0,sole,4260420,4298460,100
4320000,8.0,sole,4346700,4384920,100
4406400,8.0,sole,4433040,4471440,100
4492800,5.0,sole,4519320,4557900,100
4579200,6.0,sole,4605660,4644420,100
4665600,17.0,sole,4691940,4730880,100
4752000,20.0,pioggia ,4778220,4817340,50
4838400,18.0,sole,4864560,4903860,100
4924800,21.0,sole,4950840,4990320,100
5011200,21.0,sole,5037120,5076840,100
5097600,19.0,sole,5123400,5163300,100
5184000,20.0,sole,5209740,5249760,100
5270400,22.0,sole,5296020,5336280,100
5356800,18.0,sole,5382300,5422740,100
5443200,14.0,sole,5468580,5509200,100
5529600,17.0,sole,5554920,5595720,100
5616000,16.0,pioggia ,5641200,5682180,50
5702400,18.0,sole,5727480,5768640,100
5788800,19.0,nebbia ,5813760,5855160,60
5875200,10.0,pioggia ,5900040,5941620,50
5961600,19.0,sole,5986380,6028080,100
6048000,18.0,pioggia ,6072660,6114600,50
6134400,13.0,pioggia nebbia ,6158940,6201060,40
6220800,19.0,sole,6245220,6287520,100
6307200,20.0,sole,6331500,6374040,100
6393600,20.0,sole,6417780,6460500,100
6480000,20.0,sole,6504060,6546960,100
6566400,21.0,sole,6590400,6633420,100
6652800,20.0,sole,6676680,6719940,100
6739200,19.0,pioggia ,6762960,6806400,50
6825600,20.0,sole,6849240,6892860,100
6912000,19.0,sole,6935520,6979380,100
6998400,20.0,sole,7021800,7065840,100
7084800,20.0,sole,7108080,7152300,100
7171200,20.0,sole,7194360,7238760,100
7257600,20.0,sole,7280640,7325280,100
7344000,19.0,sole,7366980,7411740,100
7430400,21.0,sole,7453260,7498200,100
7516800,22.0,sole,7543140,7588320,100
7603200,20.0,sole,7629420,7674780,100
7689600,20.0,sole,7715700,7761240,100
7776000,17.0,sole,7801980,7847700,100
7862400,20.0,sole,7888260,7934220,100
7948800,19.0,sole,7974540,8020680,100
8035200,19.0,pioggia temporale ,8060880,8107140,20
8121600,19.0,sole,8147160,8193600,100
8208000,20.0,sole,8233440,8280120,100
8294400,20.0,sole,8319720,8366580,100
8380800,20.0,sole,8406000,8453040,100
8467200,19.0,sole,8492280,8539560,100
8553600,19.0,sole,8578620,8626020,100
8640000,18.0,pioggia ,8664900,8712480,50
8726400,18.0,pioggia ,8751180,8798940,50
8812800,15.0,pioggia ,8837460,8885460,50
8899200,20.0,sole,8923740,8971920,100
8985600,19.0,sole,9010080,9058380,100
9072000,20.0,pioggia ,9096360,9144840,50
9158400,17.0,pioggia ,9182640,9231360,50
9244800,21.0,sole,9268920,9317820,100
