DATA,VISIBILITA km,FENOMENI,SUNRISE,SUNSET
0,7.0,pioggia neve ,29280,61080
86400,9.0,pioggia ,115740,147540
172800,10.0,pioggia neve ,202140,234000
259200,9.0,pioggia ,288480,320460
345600,13.0,pioggia ,374880,406920
432000,12.0,pioggia nebbia ,461280,493380
518400,23.0,sole,547680,579840
604800,20.0,sole,634080,666300
691200,21.0,sole,720480,752760
777600,22.0,sole,806820,839220
864000,20.0,sole,893220,925740
950400,21.0,sole,979620,1012200
1036800,19.0,sole,1065960,1098660
1123200,19.0,sole,1152360,1185120
1209600,17.0,sole,1238700,1271580
1296000,15.0,sole,1325100,1358100
1382400,11.0,sole,1411440,1444560
1468800,12.0,sole,1497780,1531020
1555200,15.0,sole,1584180,1617540
1641600,15.0,nebbia ,1670520,1704000
1728000,2.0,pioggia ,1756860,1790460
1814400,3.0,pioggia nebbia ,1843200,1876980
1900800,17.0,pioggia ,1929540,1963440
1987200,20.0,sole,2015940,2049900
2073600,23.0,sole,2102280,2136420
2160000,21.0,sole,2188620,2222880
2246400,20.0,sole,2274960,2309400
2332800,20.0,sole,2361300,2395860
2419200,19.0,pioggia ,2447640,2482320
2505600,17.0,pioggia ,2533980,2568840
2592000,9.0,pioggia nebbia ,2620320,2655300
2678400,18.0,pioggia ,2706600,2741820
2764800,5.0,nebbia ,2792940,2828280
2851200,3.0,sole,2879280,2914800
2937600,6.0,nebbia ,2965620,3001260
3024000,6.0,pioggia nebbia ,3051960,3087720
3110400,2.0,pioggia nebbia ,3138240,3174240
3196800,14.0,pioggia nebbia ,3224580,3260700
3283200,11.0,nebbia ,3310920,3347220
3369600,20.0,sole,3397200,3433680
3456000,15.0,pioggia nebbia ,3483540,3520200
3542400,19.0,sole,3569880,3606660
3628800,14.0,pioggia neve ,3656160,3693120
3715200,15.0,pioggia neve ,3742500,3779640
3801600,17.0,sole,3828780,3866100
3888000,20.0,sole,3915120,3952620
3974400,21.0,sole,4001400,4039080
4060800,20.0,sole,4087740,4125600
4147200,8.0,sole,4174020,4212060
4233600,8.0,sole,4260300,4298520
4320000,8.0,sole,4346640,4385040
4406400,5.0,sole,4432920,4471500
4492800,6.0,sole,4519260,4558020
4579200,17.0,sole,4605540,4644480
4665600,20.0,pioggia ,4691820,4730940
4752000,18.0,sole,4778160,4817460
4838400,21.0,sole,4864440,4903920
4924800,21.0,sole,4950720,4990440
5011200,19.0,sole,5037000,5076900
5097600,20.0,sole,5123340,5163360
5184000,22.0,sole,5209620,5249880
5270400,18.0,sole,5295900,5336340
5356800,14.0,sole,5382180,5422800
5443200,17.0,sole,5468520,5509320
5529600,16.0,pioggia ,5554800,5595780
5616000,18.0,sole,5641080,5682240
5702400,19.0,nebbia ,5727360,5768760
5788800,10.0,pioggia ,5813640,5855220
5875200,19.0,sole,5899980,5941680
5961600,18.0,pioggia ,5986260,6028200
6048000,13.0,pioggia nebbia ,6072540,6114660
6134400,19.0,sole,6158820,6201120
6220800,20.0,sole,6245100,6287640
6307200,20.0,sole,6331380,6374100
6393600,20.0,sole,6417660,6460560
6480000,21.0,sole,6504000,6547020
6566400,20.0,sole,6590280,6633540
6652800,19.0,pioggia ,6676560,6720000
6739200,20.0,sole,6762840,6806460
6825600,19.0,sole,6849120,6892980
6912000,20.0,sole,6935400,6979440
6998400,20.0,sole,7021680,7065900
7084800,20.0,sole,7107960,7152360
7171200,20.0,sole,7194240,7238880
7257600,19.0,sole,7280580,7325340
7344000,21.0,sole,7366860,7411800
7430400,22.0,sole,7456740,7501920
