lambda,range
0.044444444444444446,3600
0.041666666666666664,7200
0.02722222222222222,10800
0.008888888888888889,14400
0.012777777777777779,18000
0.0125,21600
0.015833333333333335,25200
0.021111111111111112,28800
0.03333333333333333,32400
0.05388888888888889,36000
0.07444444444444444,39600
0.08555555555555555,43200
0.08972222222222222,46800
0.07333333333333333,50400
0.07083333333333333,54000
0.08888888888888889,57600
0.09944444444444445,61200
0.10222222222222223,64800
0.10277777777777777,68400
0.09638888888888889,72000
0.07777777777777778,75600
0.05416666666666667,79200
0.044444444444444446,82800
0.03833333333333333,86400
0.044444444444444446,90000
0.041666666666666664,93600
0.02722222222222222,97200
0.008888888888888889,100800
0.012777777777777779,104400
0.0125,108000
0.015833333333333335,111600
0.021111111111111112,115200
0.03333333333333333,118800
0.05388888888888889,122400
0.07444444444444444,126000
0.08555555555555555,129600
0.08972222222222222,133200
0.07333333333333333,136800
0.07083333333333333,140400
0.08888888888888889,144000
0.09944444444444445,147600
0.10222222222222223,151200
0.10277777777777777,154800
0.09638888888888889,158400
0.07777777777777778,162000
0.05416666666666667,165600
0.044444444444444446,169200
0.03833333333333333,172800
0.044444444444444446,176400
0.041666666666666664,180000
0.02722222222222222,183600
0.008888888888888889,187200
0.012777777777777779,190800
0.0125,194400
0.015833333333333335,198000
0.021111111111111112,201600
0.03333333333333333,205200
0.05388888888888889,208800
0.07444444444444444,212400
0.08555555555555555,216000
0.08972222222222222,219600
0.07333333333333333,223200
0.07083333333333333,226800
0.08888888888888889,230400
0.09944444444444445,234000
0.10222222222222223,237600
0.10277777777777777,241200
0.09638888888888889,244800
0.07777777777777778,248400
0.05416666666666667,252000
0.044444444444444446,255600
0.03833333333333333,259200
0.044444444444444446,262800
0.041666666666666664,266400
0.02722222222222222,270000
0.008888888888888889,273600
0.012777777777777779,277200
0.0125,280800
0.015833333333333335,284400
0.021111111111111112,288000
0.03333333333333333,291600
0.05388888888888889,295200
0.07444444444444444,298800
0.08555555555555555,302400
0.08972222222222222,306000
0.07333333333333333,309600
0.07083333333333333,313200
0.08888888888888889,316800
0.09944444444444445,320400
0.10222222222222223,324000
0.10277777777777777,327600
0.09638888888888889,331200
0.07777777777777778,334800
0.05416666666666667,338400
0.044444444444444446,342000
0.03833333333333333,345600
0.044444444444444446,349200
0.041666666666666664,352800
0.02722222222222222,356400
0.008888888888888889,360000
0.012777777777777779,363600
0.0125,367200
0.015833333333333335,370800
0.021111111111111112,374400
0.03333333333333333,378000
0.05388888888888889,381600
0.07444444444444444,385200
0.08555555555555555,388800
0.08972222222222222,392400
0.07333333333333333,396000
0.07083333333333333,399600
0.08888888888888889,403200
0.09944444444444445,406800
0.10222222222222223,410400
0.10277777777777777,414000
0.09638888888888889,417600
0.07777777777777778,421200
0.05416666666666667,424800
0.044444444444444446,428400
0.03833333333333333,432000
0.044444444444444446,435600
0.041666666666666664,439200
0.02722222222222222,442800
0.008888888888888889,446400
0.012777777777777779,450000
0.0125,453600
0.015833333333333335,457200
0.021111111111111112,460800
0.03333333333333333,464400
0.05388888888888889,468000
0.07444444444444444,471600
0.08555555555555555,475200
0.08972222222222222,478800
0.07333333333333333,482400
0.07083333333333333,486000
0.08888888888888889,489600
0.09944444444444445,493200
0.10222222222222223,496800
0.10277777777777777,500400
0.09638888888888889,504000
0.07777777777777778,507600
0.05416666666666667,511200
0.044444444444444446,514800
0.03833333333333333,518400
0.044444444444444446,522000
0.041666666666666664,525600
0.02722222222222222,529200
0.008888888888888889,532800
0.012777777777777779,536400
0.0125,540000
0.015833333333333335,543600
0.021111111111111112,547200
0.03333333333333333,550800
0.05388888888888889,554400
0.07444444444444444,558000
0.08555555555555555,561600
0.08972222222222222,565200
0.07333333333333333,568800
0.07083333333333333,572400
0.08888888888888889,576000
0.09944444444444445,579600
0.10222222222222223,583200
0.10277777777777777,586800
0.09638888888888889,590400
0.07777777777777778,594000
0.05416666666666667,597600
0.044444444444444446,601200
0.03833333333333333,604800
0.044444444444444446,608400
0.041666666666666664,612000
0.02722222222222222,615600
0.008888888888888889,619200
0.012777777777777779,622800
0.0125,626400
0.015833333333333335,630000
0.021111111111111112,633600
0.03333333333333333,637200
0.05388888888888889,640800
0.07444444444444444,644400
0.08555555555555555,648000
0.08972222222222222,651600
0.07333333333333333,655200
0.07083333333333333,658800
0.08888888888888889,662400
0.09944444444444445,666000
0.10222222222222223,669600
0.10277777777777777,673200
0.09638888888888889,676800
0.07777777777777778,680400
0.05416666666666667,684000
0.044444444444444446,687600
0.03833333333333333,691200
0.044444444444444446,694800
0.041666666666666664,698400
0.02722222222222222,702000
0.008888888888888889,705600
0.012777777777777779,709200
0.0125,712800
0.015833333333333335,716400
0.021111111111111112,720000
0.03333333333333333,723600
0.05388888888888889,727200
0.07444444444444444,730800
0.08555555555555555,734400
0.08972222222222222,738000
0.07333333333333333,741600
0.07083333333333333,745200
0.08888888888888889,748800
0.09944444444444445,752400
0.10222222222222223,756000
0.10277777777777777,759600
0.09638888888888889,763200
0.07777777777777778,766800
0.05416666666666667,770400
0.044444444444444446,774000
0.03833333333333333,777600
0.044444444444444446,781200
0.041666666666666664,784800
0.02722222222222222,788400
0.008888888888888889,792000
0.012777777777777779,795600
0.0125,799200
0.015833333333333335,802800
0.021111111111111112,806400
0.03333333333333333,810000
0.05388888888888889,813600
0.07444444444444444,817200
0.08555555555555555,820800
0.08972222222222222,824400
0.07333333333333333,828000
0.07083333333333333,831600
0.08888888888888889,835200
0.09944444444444445,838800
0.10222222222222223,842400
0.10277777777777777,846000
0.09638888888888889,849600
0.07777777777777778,853200
0.05416666666666667,856800
0.044444444444444446,860400
0.03833333333333333,864000
0.044444444444444446,867600
0.041666666666666664,871200
0.02722222222222222,874800
0.008888888888888889,878400
0.012777777777777779,882000
0.0125,885600
0.015833333333333335,889200
0.021111111111111112,892800
0.03333333333333333,896400
0.05388888888888889,900000
0.07444444444444444,903600
0.08555555555555555,907200
0.08972222222222222,910800
0.07333333333333333,914400
0.07083333333333333,918000
0.08888888888888889,921600
0.09944444444444445,925200
0.10222222222222223,928800
0.10277777777777777,932400
0.09638888888888889,936000
0.07777777777777778,939600
0.05416666666666667,943200
0.044444444444444446,946800
0.03833333333333333,950400
0.044444444444444446,954000
0.041666666666666664,957600
0.02722222222222222,961200
0.008888888888888889,964800
0.012777777777777779,968400
0.0125,972000
0.015833333333333335,975600
0.021111111111111112,979200
0.03333333333333333,982800
0.05388888888888889,986400
0.07444444444444444,990000
0.08555555555555555,993600
0.08972222222222222,997200
0.07333333333333333,1000800
0.07083333333333333,1004400
0.08888888888888889,1008000
0.09944444444444445,1011600
0.10222222222222223,1015200
0.10277777777777777,1018800
0.09638888888888889,1022400
0.07777777777777778,1026000
0.05416666666666667,1029600
0.044444444444444446,1033200
0.03833333333333333,1036800
0.044444444444444446,1040400
0.041666666666666664,1044000
0.02722222222222222,1047600
0.008888888888888889,1051200
0.012777777777777779,1054800
0.0125,1058400
0.015833333333333335,1062000
0.021111111111111112,1065600
0.03333333333333333,1069200
0.05388888888888889,1072800
0.07444444444444444,1076400
0.08555555555555555,1080000
0.08972222222222222,1083600
0.07333333333333333,1087200
0.07083333333333333,1090800
0.08888888888888889,1094400
0.09944444444444445,1098000
0.10222222222222223,1101600
0.10277777777777777,1105200
0.09638888888888889,1108800
0.07777777777777778,1112400
0.05416666666666667,1116000
0.044444444444444446,1119600
0.03833333333333333,1123200
0.044444444444444446,1126800
0.041666666666666664,1130400
0.02722222222222222,1134000
0.008888888888888889,1137600
0.012777777777777779,1141200
0.0125,1144800
0.015833333333333335,1148400
0.021111111111111112,1152000
0.03333333333333333,1155600
0.05388888888888889,1159200
0.07444444444444444,1162800
0.08555555555555555,1166400
0.08972222222222222,1170000
0.07333333333333333,1173600
0.07083333333333333,1177200
0.08888888888888889,1180800
0.09944444444444445,1184400
0.10222222222222223,1188000
0.10277777777777777,1191600
0.09638888888888889,1195200
0.07777777777777778,1198800
0.05416666666666667,1202400
0.044444444444444446,1206000
0.03833333333333333,1209600
0.044444444444444446,1213200
0.041666666666666664,1216800
0.02722222222222222,1220400
0.008888888888888889,1224000
0.012777777777777779,1227600
0.0125,1231200
0.015833333333333335,1234800
0.021111111111111112,1238400
0.03333333333333333,1242000
0.05388888888888889,1245600
0.07444444444444444,1249200
0.08555555555555555,1252800
0.08972222222222222,1256400
0.07333333333333333,1260000
0.07083333333333333,1263600
0.08888888888888889,1267200
0.09944444444444445,1270800
0.10222222222222223,1274400
0.10277777777777777,1278000
0.09638888888888889,1281600
0.07777777777777778,1285200
0.05416666666666667,1288800
0.044444444444444446,1292400
0.03833333333333333,1296000
0.044444444444444446,1299600
0.041666666666666664,1303200
0.02722222222222222,1306800
0.008888888888888889,1310400
0.012777777777777779,1314000
0.0125,1317600
0.015833333333333335,1321200
0.021111111111111112,1324800
0.03333333333333333,1328400
0.05388888888888889,1332000
0.07444444444444444,1335600
0.08555555555555555,1339200
0.08972222222222222,1342800
0.07333333333333333,1346400
0.07083333333333333,1350000
0.08888888888888889,1353600
0.09944444444444445,1357200
0.10222222222222223,1360800
0.10277777777777777,1364400
0.09638888888888889,1368000
0.07777777777777778,1371600
0.05416666666666667,1375200
0.044444444444444446,1378800
0.03833333333333333,1382400
0.044444444444444446,1386000
0.041666666666666664,1389600
0.02722222222222222,1393200
0.008888888888888889,1396800
0.012777777777777779,1400400
0.0125,1404000
0.015833333333333335,1407600
0.021111111111111112,1411200
0.03333333333333333,1414800
0.05388888888888889,1418400
0.07444444444444444,1422000
0.08555555555555555,1425600
0.08972222222222222,1429200
0.07333333333333333,1432800
0.07083333333333333,1436400
0.08888888888888889,1440000
0.09944444444444445,1443600
0.10222222222222223,1447200
0.10277777777777777,1450800
0.09638888888888889,1454400
0.07777777777777778,1458000
0.05416666666666667,1461600
0.044444444444444446,1465200
0.03833333333333333,1468800
0.044444444444444446,1472400
0.041666666666666664,1476000
0.02722222222222222,1479600
0.008888888888888889,1483200
0.012777777777777779,1486800
0.0125,1490400
0.015833333333333335,1494000
0.021111111111111112,1497600
0.03333333333333333,1501200
0.05388888888888889,1504800
0.07444444444444444,1508400
0.08555555555555555,1512000
0.08972222222222222,1515600
0.07333333333333333,1519200
0.07083333333333333,1522800
0.08888888888888889,1526400
0.09944444444444445,1530000
0.10222222222222223,1533600
0.10277777777777777,1537200
0.09638888888888889,1540800
0.07777777777777778,1544400
0.05416666666666667,1548000
0.044444444444444446,1551600
0.03833333333333333,1555200
0.044444444444444446,1558800
0.041666666666666664,1562400
0.02722222222222222,1566000
0.008888888888888889,1569600
0.012777777777777779,1573200
0.0125,1576800
0.015833333333333335,1580400
0.021111111111111112,1584000
0.03333333333333333,1587600
0.05388888888888889,1591200
0.07444444444444444,1594800
0.08555555555555555,1598400
0.08972222222222222,1602000
0.07333333333333333,1605600
0.07083333333333333,1609200
0.08888888888888889,1612800
0.09944444444444445,1616400
0.10222222222222223,1620000
0.10277777777777777,1623600
0.09638888888888889,1627200
0.07777777777777778,1630800
0.05416666666666667,1634400
0.044444444444444446,1638000
0.03833333333333333,1641600
0.044444444444444446,1645200
0.041666666666666664,1648800
0.02722222222222222,1652400
0.008888888888888889,1656000
0.012777777777777779,1659600
0.0125,1663200
0.015833333333333335,1666800
0.021111111111111112,1670400
0.03333333333333333,1674000
0.05388888888888889,1677600
0.07444444444444444,1681200
0.08555555555555555,1684800
0.08972222222222222,1688400
0.07333333333333333,1692000
0.07083333333333333,1695600
0.08888888888888889,1699200
0.09944444444444445,1702800
0.10222222222222223,1706400
0.10277777777777777,1710000
0.09638888888888889,1713600
0.07777777777777778,1717200
0.05416666666666667,1720800
0.044444444444444446,1724400
0.03833333333333333,1728000
0.044444444444444446,1731600
0.041666666666666664,1735200
0.02722222222222222,1738800
0.008888888888888889,1742400
0.012777777777777779,1746000
0.0125,1749600
0.015833333333333335,1753200
0.021111111111111112,1756800
0.03333333333333333,1760400
0.05388888888888889,1764000
0.07444444444444444,1767600
0.08555555555555555,1771200
0.08972222222222222,1774800
0.07333333333333333,1778400
0.07083333333333333,1782000
0.08888888888888889,1785600
0.09944444444444445,1789200
0.10222222222222223,1792800
0.10277777777777777,1796400
0.09638888888888889,1800000
0.07777777777777778,1803600
0.05416666666666667,1807200
0.044444444444444446,1810800
0.03833333333333333,1814400
0.044444444444444446,1818000
0.041666666666666664,1821600
0.02722222222222222,1825200
0.008888888888888889,1828800
0.012777777777777779,1832400
0.0125,1836000
0.015833333333333335,1839600
0.021111111111111112,1843200
0.03333333333333333,1846800
0.05388888888888889,1850400
0.07444444444444444,1854000
0.08555555555555555,1857600
0.08972222222222222,1861200
0.07333333333333333,1864800
0.07083333333333333,1868400
0.08888888888888889,1872000
0.09944444444444445,1875600
0.10222222222222223,1879200
0.10277777777777777,1882800
0.09638888888888889,1886400
0.07777777777777778,1890000
0.05416666666666667,1893600
0.044444444444444446,1897200
0.03833333333333333,1900800
0.044444444444444446,1904400
0.041666666666666664,1908000
0.02722222222222222,1911600
0.008888888888888889,1915200
0.012777777777777779,1918800
0.0125,1922400
0.015833333333333335,1926000
0.021111111111111112,1929600
0.03333333333333333,1933200
0.05388888888888889,1936800
0.07444444444444444,1940400
0.08555555555555555,1944000
0.08972222222222222,1947600
0.07333333333333333,1951200
0.07083333333333333,1954800
0.08888888888888889,1958400
0.09944444444444445,1962000
0.10222222222222223,1965600
0.10277777777777777,1969200
0.09638888888888889,1972800
0.07777777777777778,1976400
0.05416666666666667,1980000
0.044444444444444446,1983600
0.03833333333333333,1987200
0.044444444444444446,1990800
0.041666666666666664,1994400
0.02722222222222222,1998000
0.008888888888888889,2001600
0.012777777777777779,2005200
0.0125,2008800
0.015833333333333335,2012400
0.021111111111111112,2016000
0.03333333333333333,2019600
0.05388888888888889,2023200
0.07444444444444444,2026800
0.08555555555555555,2030400
0.08972222222222222,2034000
0.07333333333333333,2037600
0.07083333333333333,2041200
0.08888888888888889,2044800
0.09944444444444445,2048400
0.10222222222222223,2052000
0.10277777777777777,2055600
0.09638888888888889,2059200
0.07777777777777778,2062800
0.05416666666666667,2066400
0.044444444444444446,2070000
0.03833333333333333,2073600
0.044444444444444446,2077200
0.041666666666666664,2080800
0.02722222222222222,2084400
0.008888888888888889,2088000
0.012777777777777779,2091600
0.0125,2095200
0.015833333333333335,2098800
0.021111111111111112,2102400
0.03333333333333333,2106000
0.05388888888888889,2109600
0.07444444444444444,2113200
0.08555555555555555,2116800
0.08972222222222222,2120400
0.07333333333333333,2124000
0.07083333333333333,2127600
0.08888888888888889,2131200
0.09944444444444445,2134800
0.10222222222222223,2138400
0.10277777777777777,2142000
0.09638888888888889,2145600
0.07777777777777778,2149200
0.05416666666666667,2152800
0.044444444444444446,2156400
0.03833333333333333,2160000
0.044444444444444446,2163600
0.041666666666666664,2167200
0.02722222222222222,2170800
0.008888888888888889,2174400
0.012777777777777779,2178000
0.0125,2181600
0.015833333333333335,2185200
0.021111111111111112,2188800
0.03333333333333333,2192400
0.05388888888888889,2196000
0.07444444444444444,2199600
0.08555555555555555,2203200
0.08972222222222222,2206800
0.07333333333333333,2210400
0.07083333333333333,2214000
0.08888888888888889,2217600
0.09944444444444445,2221200
0.10222222222222223,2224800
0.10277777777777777,2228400
0.09638888888888889,2232000
0.07777777777777778,2235600
0.05416666666666667,2239200
0.044444444444444446,2242800
0.03833333333333333,2246400
0.044444444444444446,2250000
0.041666666666666664,2253600
0.02722222222222222,2257200
0.008888888888888889,2260800
0.012777777777777779,2264400
0.0125,2268000
0.015833333333333335,2271600
0.021111111111111112,2275200
0.03333333333333333,2278800
0.05388888888888889,2282400
0.07444444444444444,2286000
0.08555555555555555,2289600
0.08972222222222222,2293200
0.07333333333333333,2296800
0.07083333333333333,2300400
0.08888888888888889,2304000
0.09944444444444445,2307600
0.10222222222222223,2311200
0.10277777777777777,2314800
0.09638888888888889,2318400
0.07777777777777778,2322000
0.05416666666666667,2325600
0.044444444444444446,2329200
0.03833333333333333,2332800
0.044444444444444446,2336400
0.041666666666666664,2340000
0.02722222222222222,2343600
0.008888888888888889,2347200
0.012777777777777779,2350800
0.0125,2354400
0.015833333333333335,2358000
0.021111111111111112,2361600
0.03333333333333333,2365200
0.05388888888888889,2368800
0.07444444444444444,2372400
0.08555555555555555,2376000
0.08972222222222222,2379600
0.07333333333333333,2383200
0.07083333333333333,2386800
0.08888888888888889,2390400
0.09944444444444445,2394000
0.10222222222222223,2397600
0.10277777777777777,2401200
0.09638888888888889,2404800
0.07777777777777778,2408400
0.05416666666666667,2412000
